Title,Price,Format
OBITUARY – SLOWLY WE ROT 2A MA NM.NM.,80,LP
EXODUS – IMPACT IS IMMINENT 2A MA NM.NM.,70,LP
SEPULTURA – ARISE 2A MA NM.NM.,100,LP
METALLICA – …AND JUSTICE FOR ALL 2A MA NM.NM.,60,2LP 
MOTORHEAD – 1916 2A MA NM.NM.,60,CD.
EVO – DURACION DE LO ETERNO 2A MA NM.NM.,200,LP
OVERDOSE/SEPULTURA – SECULO XX/BESTIAL DEVASTATION 2A MA NM.VG+,250,LP
DESTRUCTION – RELEASE FROM AGONY 2A MA NM.NM.,35,LP
BAD RELIGION – GENERATOR 2A MA NM.NM.,50,CD.
EXCITER – LONG LIVE THE LOUD 2A MA NM.VG+.,30,LP
SLAYER – SOUTH OF HEAVEN 2A MA NM.NM.,80,LP
RAMONES – ROCKET TO RUSSIA 2A MA NM.NM.,50,LP
RAMONES – RAMONES 2A MA NM.VG+.,40,LP
BLUR – FOR TOMORROW 2A MA VG+.VG+.,35,LP
KILLING JOKE – AN INCOMPLETE COLLECTION 2A MA NM.VG+,250,5LP
TELEVISION – TELEVISION 2A MA NM.NM.,150,LP
CRANES – WINGS OF JOY 2A MA VG+.VG+.,25,LP
DEF LEPPARD – ADRENALIZE 2A MA NM.NM.,35,LP
CURE – PORNOGRAPHY 2A MA NM.NM.,300,LP
MILES DAVIS – AURA 2A MA NM.VG+,40,LP
CURE – MIXED UP 2A MA NM.NM.,40,2LP 
KREATOR – EXTREME AGGRESSION 2A MA NM.NM.,50,LP
KREATOR – OUT OF THE DARK…2A MA NM.NM.,40,LP
FLOTSAM AND JETSAM – NO PLACE FOR DISGRACE 2A MA NM.NM.,35,LP
SACRED REICH – IGNORANCE 2A MA NM.NM.,50,LP
SANGRE AZUL – EL SILENCIO DE LA NOCHE 2A MA VG+.VG+,100,LP
RIGOR MORTIS – VETE AL INFIERNO 2A MA VG+.VG+,35,LP
PET SHOP BOYS – DISCOGRAPHY 2A MA NM.VG+.,80,2LP 
ATILA – REVIURE 2A MA VG+.VG.,60,LP
JETHRO TULL – STAND UP 2A MA NM.NM.,50,LP
JIMI HENDRIX – ELECTRIC LADYLAND 2A MA NM.VG+.,80,2LP 
LED ZEPPELIN – LED ZEPPELIN II 2A MA NM.VG+,100,LP
JUDAS PRIEST – RAM IT DOWN 2A MA NM.VG+.,75,LP
AC/DC – FLY ON THE WALL 2A MA VG.VG.,30,LP
SMITHS – THE BOY WITH THE THORN IN HIS SIDE 2A MA NM.NM.,30,LP
W.A.S.P. – W.A.S.P. 2A MA VG+.VG.,40,LP
LUIS ALBERTO SPINETTA – EXACTAS 2A MA VG+.VG+,75,LP
13TH FLOOR ELEVATORS – EASTER EVERYWHERE 2A MA VG.VG+.,45,LP
SONIC YOUTH – DAYDREAM NATION 2A MA VG+.VG+,50,2LP 
CURE – MIXED UP 2A MA NM.VG+.,50,2LP 
BON JOVI – KEEP THE FAITH 2A MA VG+.NM.,50,LP
LAIBACH – LAIBACH 2A MA VG.VG+,40,LP
QUEEN – QUEEN II 2A MA NM.NM.,30,LP
OBITUARY – SLOWLY WE ROT 2A MA NM.NM.,80,LP
EXODUS – IMPACT IS IMMINENT 2A MA NM.NM.,70,LP
SEPULTURA – ARISE 2A MA NM.NM.,100,LP
METALLICA – …AND JUSTICE FOR ALL 2A MA NM.NM.,60,2LP 
MOTORHEAD – 1916 2A MA NM.NM.,60,CD.
OVERDOSE/SEPULTURA – SECULO XX/BESTIAL DEVASTATION 2A MA NM.VG+,250,LP
EVO – DURACION DE LO ETERNO 2A MA NM.NM.,200,LP
DESTRUCTION – RELEASE FROM AGONY 2A MA NM.NM.,35,LP
BAD RELIGION – GENERATOR 2A MA NM.NM.,50,CD.
EXCITER – LONG LIVE THE LOUD 2A MA NM.VG+.,30,LP
SLAYER – SOUTH OF HEAVEN 2A MA NM.NM.,80,LP
RAMONES – ROCKET TO RUSSIA 2A MA NM.NM.,50,LP
RAMONES – RAMONES 2A MA NM.VG+.,40,LP
BLUR – FOR TOMORROW 2A MA VG+.VG+.,35,LP
KILLING JOKE – AN INCOMPLETE COLLECTION 2A MA NM.VG+,250,5LP
TELEVISION – TELEVISION 2A MA NM.NM.,150,LP
CRANES – WINGS OF JOY 2A MA VG+.VG+.,25,LP
DEF LEPPARD – ADRENALIZE 2A MA NM.NM.,35,LP
CURE – PORNOGRAPHY 2A MA NM.NM.,300,LP
MILES DAVIS – AURA 2A MA NM.VG+,40,LP
CURE – MIXED UP 2A MA NM.NM.,40,2LP 
KREATOR – EXTREME AGGRESSION 2A MA NM.NM.,50,LP
KREATOR – OUT OF THE DARK…2A MA NM.NM.,40,LP
FLOTSAM AND JETSAM – NO PLACE FOR DISGRACE 2A MA NM.NM.,35,LP
